ident,type,origin,destination,departure,estd-arrival-time,estd-time-enroute
 WIG7101,C208,Princess Juliana Int'l (SXM / TNCM),Luis Munoz Marin Intl (SJU / TJSJ),Wed 02:43PM AST,Wed 03:49PM AST,01:05
 CFS8511,C208,Seattle-Tacoma Intl (KSEA),Skagit Rgnl (KBVS),Wed 11:43AM PDT,Wed 12:23PM PDT,00:24
 FDY67,C208,Memphis Intl (KMEM),Boone County (KHRO),Wed 01:43PM CDT,Wed 03:40PM CDT,01:04
 CPT7700,C208,Kapalua (JHM / PHJH),Daniel K Inouye Intl (PHNL),Wed 08:42AM HST,Wed 09:17AM HST,00:35
 N1256P,C208,Charleston Intl/AFB (KCHS),N/A,Wed 02:41PM EDT,N/A,N/A
 BRG422,C208,Unalakleet (UNK / PAUN), (SKK),Wed 10:41AM AKDT,Wed 06:54PM GMT,00:13
 N855FE,C208,George F. L. Charles (SLU / TLPC),N/A,Wed 02:40PM AST,N/A,N/A
 GUN8SM,C208,Scammon Bay (SCM / PACM),Bethel (BET / PABE),Wed 10:38AM AKDT,Wed 11:33AM AKDT,00:54
 AZY2033,C208,Fort Lauderdale Executive (KFXE),N/A,Wed 02:37PM EDT,N/A,N/A
 N208TS,C208,Michigan City Muni-Phillips Field (KMGC),N/A,Wed 01:37PM CDT,N/A,N/A
 N543TC,C208,"Near Chandler, AZ",N/A,Wed 11:35AM MST,N/A,N/A
 GUN4SF,C208,Mekoryuk (MYU / PAMY),Bethel (BET / PABE),Wed 10:35AM AKDT,Wed 11:28AM AKDT,00:53
 ACO2626,C208,St Louis Lambert Intl (KSTL),Southeast Iowa Rgnl (KBRL),Wed 01:33PM CDT,Wed 02:44PM CDT,01:10
 N929TG,C208,Lake Hood (LHD / PALH),N/A,Wed 10:33AM AKDT,N/A,N/A
 GUN510,C208,Anchorage Intl (PANC),Kenai Muni (ENA / PAEN),Wed 10:33AM AKDT,Wed 10:55AM AKDT,00:23
 N9680B,C208,Daugherty Field (KLGB),N/A,Wed 11:32AM PDT,N/A,N/A
 N9187,C208,Daugherty Field (KLGB),N/A,Wed 11:31AM PDT,N/A,N/A
 SDA294,C208,Woodbourne (BHE / NZWB),Wellington Int'l (WLG / NZWN),Thu 06:28AM NZST,Thu 06:58AM NZST,00:30
 FDY4008,C208,T. F. Green International (KPVD),Nantucket Memorial (KACK),Wed 02:28PM EDT,Wed 02:52PM EDT,00:32
 CFS8699,C208,Seattle-Tacoma Intl (KSEA),Bellingham Intl (KBLI),Wed 11:28AM PDT,Wed 12:12PM PDT,00:37
