ident,type,origin,destination,departure,estd-arrival-time,estd-time-enroute
 N420GX,PC12,Wilson Industrial Air Center (W03),Rock Hill (KUZA),Wed 02:44PM EDT,Wed 03:28PM EDT,00:38
 N291DT,PC12,Merrill Field (MRI / PAMR),N/A,Wed 10:44AM AKDT,N/A,N/A
 XSN61,PC12,Napa County (KAPC),N/A,Wed 11:43AM PDT,N/A,N/A
 GTW432,PC12,Nashville Intl (KBNA),Clark-Taney County (KPLK),Wed 01:40PM CDT,Wed 03:06PM CDT,01:26
 N79NX,PC12,Greenfield Muni (KGFZ),Wausau Downtown (KAUW),Wed 01:38PM CDT,Wed 02:53PM CDT,01:13
 N612CR,PC12,Sedona (KSEZ),Eagle County (KEGE),Wed 11:37AM MST,Wed 02:15PM MDT,01:30
 BTQ773,PC12,Cortez Muni (KCEZ),Phoenix Sky Harbor Intl (KPHX),Wed 12:37PM MDT,Wed 12:52PM MST,01:17
 N11NX,PC12,Metropolitan Oakland Intl (KOAK),Glenwood Springs Muni (KGWS),Wed 11:35AM PDT,Wed 03:07PM MDT,02:32
 KUK761,PC12,Hall Beach (CYUX),Arctic Bay (CYAB),Wed 02:35PM EDT,Wed 02:45PM CDT,01:10
 CNS18,PC12,Key West Intl (KEYW),Tampa Intl (KTPA),Wed 02:33PM EDT,Wed 03:34PM EDT,01:01
 N739S,PC12,Scottsdale (KSDL),Henderson Executive (KHND),Wed 11:32AM MST,Wed 12:33PM PDT,01:02
 N705KC,PC12,Potsdam Muni/Damon Fld (KPTD),Plattsburgh Intl (KPBG),Wed 02:31PM EDT,Wed 02:55PM EDT,00:18
 C-GIOX,PC12,La Romaine (ZGS / CTT5),Sept (CYZV),Wed 02:28PM AST,Wed 03:41PM EDT,01:02
 N755HF,PC12,Carroll Co Rgnl (KDMW),N/A,Wed 02:28PM EDT,N/A,N/A
 N708RE,PC12,Barter Island (BTI / PABA),Fairbanks Intl (FAI / PAFA),Wed 10:28AM AKDT,Wed 12:09PM AKDT,01:41
 NDL876,PC12,Quaqtaq (YQC / CYHA),Kangirsuk (YKG / CYAS),Wed 02:28PM EDT,Wed 02:47PM EDT,00:19
 CNS3311,PC12,Beverly Rgnl (KBVY),Republic (KFRG),Wed 02:27PM EDT,Wed 03:13PM EDT,00:45
 BTQ327,PC12,Los Angeles Intl (KLAX),Merced Municipal (KMCE),Wed 11:24AM PDT,Wed 12:20PM PDT,01:06
 N588NG,PC12,"Near North Adams, MA",N/A,Wed 02:24PM EDT,N/A,N/A
 N900HS,PC12,Trenton Mercer (KTTN),Battle Creek Executive At Kellogg Field (KBTL),Wed 02:22PM EDT,Wed 04:33PM EDT,02:17
 GPD82,PC12,South Jersey Rgnl (KVAY),Nantucket Memorial (KACK),Wed 02:21PM EDT,Wed 03:28PM EDT,01:07
 N911VU,PC12,Nashville Intl (KBNA),Tri-Cities (KTRI),Wed 01:21PM CDT,Wed 03:17PM EDT,00:56
